Camera No.,Camera Link
Camera 1,http://webcam01.ecn.purdue.edu/mjpg/video.mjpg
Camera 2,http://pendelcam.kip.uni-heidelberg.de/mjpg/video.mjpg
Camera 3,http://61.211.241.239/nphMotionJpeg?Resolution=320x240&Quality=Standard
Camera 4,http://pendelcam.kip.uni-heidelberg.de/mjpg/video.mjpg
Camera 5,1.mp4
Camera 6,highway.mp4
Camera 7,pexels-nino-souza-2099536-1920x1080-60fps.mp4
Camera 8,1.mp4
Camera 9,pexels-mostafa-meraji-3078508-1920x1080-30fps.mp4
Camera 10,pexels-nino-souza-2099536-1920x1080-60fps.mp4
Camera 11,pexels-mostafa-meraji-3078508-1920x1080-30fps.mp4
Camera 12,highway.mp4
Camera 13,1.mp4
